"genus","species","kingdomKey","X2001_2019_change_index_mu","X2001_Land_Cover_mu","X2004_Land_Cover_mu","X2006_Land_Cover_mu","X2008_Land_Cover_mu","X2011_Land_Cover_mu","X2013_Land_Cover_mu","X2016_Land_Cover_mu","X2019_Land_Cover_mu","slope_mu","roundedSRank_mu","roundedNRank_mu","roundedGRank_mu","UID_mu","lat_mu","lon_mu","maxlat_mu","minlat_mu","maxlon_mu","minlon_mu","simple_status_mu","X2001_2019_change_index_sig","X2001_Land_Cover_sig","X2004_Land_Cover_sig","X2006_Land_Cover_sig","X2008_Land_Cover_sig","X2011_Land_Cover_sig","X2013_Land_Cover_sig","X2016_Land_Cover_sig","X2019_Land_Cover_sig","slope_sig","roundedSRank_sig","roundedNRank_sig","roundedGRank_sig","UID_sig","lat_sig","lon_sig","maxlat_sig","minlat_sig","maxlon_sig","minlon_sig","simple_status_sig","Random_Pred"
"Callophrys","niphon",1,"1","41","41","41","41","41","41","41","41",1.10079424083601,"S4","N5","G5","71227",1633058.2690877,1950642.7282277,1766627.52497051,1482072.95273072,2000553.28078904,1881437.61412041,"secure",3,12,12,12,12,12,12,12,12,1.0475295182827,1,1,1,69,50617.7742251079,25635.207030698,0,0,0,0,1,0.652753295144066
"Calopogon","tuberosus",6,"1","90","90","90","90","90","90","90","90",0.0728574635035288,"S1","NNR","G5","17595",1764267.47979718,1886932.84365341,1767658.20757944,1760876.75201491,1890403.63716187,1883462.05014495,"threatened",2,1,2,1,1,1,1,1,1,0.0655781224449455,1,1,1,2,4795.21321599102,4908.44325186333,0,0,0,0,1,0.804320505820215
"Calycopis","cecrops",1,"1","41","41","41","41","21","21","21","21",5.16568631897389e+31,"S4","N5","G5","101510",1639513.88535724,1952371.86014822,1792185.10184757,1428835.52050034,2030194.2425998,1850464.65041996,"secure",7,15,15,15,15,15,15,15,15,1.08465958353421e+33,1,1,1,625,43348.9426116587,31243.5712821972,0,0,0,0,1,0.746676927432418
"Campanula","rotundifolia",6,"1","41","41","41","41","41","41","41","41",3.35798991045836,"S2","NNR","G5","69660",1669276.91806548,2025377.03651856,1670242.41159772,1668311.42453323,2025939.92486461,2024814.14817251,"threatened",1,1,1,1,1,1,1,1,1,0.637520244778143,1,1,1,2,1365.41404768379,796.044333083273,0,0,0,0,1,0.0230424006003886
"Cardamine","douglassii",6,"1","41","41","90","90","21","90","21","41",2.77143027030519,"S3","NNR","G5","2239",1676278.2072972,2021179.16105141,1676402.60746732,1676116.64671955,2024190.60291079,2019592.02590955,"threatened",1,3,3,3,3,3,3,3,3,0.216315569375172,1,1,1,3,146.557358167685,2609.25560807111,0,0,0,0,1,0.0192520504351705
"Cardamine","parviflora",6,"1","41","90","90","41","82","82","90","41",1.06889966678743e+34,"S5","N5","G5","63134",1639688.11294788,1928553.72186708,1689247.55785745,1605194.9823085,1943628.50993254,1911072.29510868,"secure",1,3,3,3,3,3,3,3,3,1.85138853106927e+34,1,1,1,3,44005.161440101,16410.9936708013,0,0,0,0,1,0.884658772964031
"Carex","albursina",6,"1","41","41","41","41","41","41","41","41",1.32306721047108,"S3","N5","G5","24115",1622397.77380931,1939221.43157274,1676191.29707957,1605209.60872241,2009585.95163095,1893269.76998411,"threatened",2,3,3,3,3,3,3,4,4,0.476714276377972,1,1,1,5,30479.9483327924,42607.0851937366,0,0,0,0,1,0.278204713249579
"Carex","appalachica",6,"1","21","21","21","21","43","21","21","21",4.06834688683825,"S1","NNR","G4","65161",1415780.91459823,1937041.2369992,1421954.22863545,1409607.600561,1942302.34857728,1931780.12542112,"threatened",1,2,2,2,2,2,2,2,2,1.63142211097561,1,1,1,2,8730.38443623292,7440.33534687834,0,0,0,0,1,0.115122037706897
"Carex","atlantica",6,"1","90","90","90","90","90","90","90","90",0.898646212131097,"S5","NNR","G5","67644",1660700.42677671,1943148.12508097,1770267.36066957,1417363.37986069,2019472.78157739,1855810.99345059,"secure",2,8,7,8,8,8,8,8,8,0.804521413603484,1,1,1,25,95366.7972409429,53827.1932211652,0,0,0,0,1,0.319579828064889
"Carex","bromoides",6,"1","21","21","21","21","21","21","21","21",1.71881085598885,"S4","NNR","G5","69529",1543373.80210469,1975221.03666486,1676021.86471213,1419873.60200497,2022133.62290848,1912686.27388347,"secure",1,3,3,3,3,3,3,3,3,0.897362363663856,1,1,1,7,98984.7372222837,36128.9695507652,0,0,0,0,1,0.946128594921902
