Family	Family	Tribe	Genus	Subgenus	 species	Science.name	Full.name	Authority	Recorded.states	Status	Season	Host.Plant	Lecty
Andrenidae	Andreninae		Perdita	Perdita	 halictoides	Perdita halictoides	Perdita (Perdita) halictoides	"Smith, 1853"	MA-MD-NH-NJ-NY-VT	Uncommon-Rare	Summer	Physalis L.	oligo
Andrenidae	Andreninae		Perdita	Perdita	 maculigera	Perdita maculigera	Perdita (Perdita) maculigera	"Cockerell, 1896"	NY	Rare	Fall	Salix L.	oligo
Andrenidae	Andreninae		Perdita	Alloperdita	 novaeangliae	Perdita novaeangliae	Perdita (Alloperdita) novaeangliae	"Viereck, 1907"	CT-MA-RI	Uncommon	Summer	Lyonia Nutt.	oligo
Andrenidae	Andreninae		Perdita	Perdita	 octomaculata	Perdita octomaculata	Perdita (Perdita) octomaculata	"(Say, 1824)"	CT-DE-MA-MD-ME-NH-NJ-NY-RI-VA-VT-WV	Common-Uncommon	Fall	"Astereae, e.g. Solidago L."	poly
Andrenidae	Andreninae		Perdita	Perdita	 swenki	Perdita swenki	Perdita (Perdita) swenki	"Crawford, 1915"	NJ-NY	Rare	Summer	"Asteraceae, e.g. Astereae"	poly
Andrenidae	Andreninae		Protandrena		abdominalis	Protandrenaabdominalis	Protandrena abdominalis	"(Cresson, 1878)"	MD-NJ-PA-VA-WV	Rare	Summer	Monarda L.	oligo
Andrenidae	Andreninae		Pseudopanurgus		aestivalis	Pseudopanurgusaestivalis	Pseudopanurgus aestivalis	"(Provancher, 1882)"	CT-MA-MD-ME-NH-NJ-VT	Rare	Fall	"Astereae, e.g. Solidago L., SymphyotrichumNees"	poly
Andrenidae	Andreninae		Pseudopanurgus		albitarsis	Pseudopanurgusalbitarsis	Pseudopanurgus albitarsis	"(Cresson, 1872)"	VA	Rare	Summer	"Asteraceae, e.g. Heliantheae"	poly
Andrenidae	Andreninae		Pseudopanurgus		andrenoides	Pseudopanurgusandrenoides	Pseudopanurgus andrenoides	"(Smith, 1853)"	CT-MA-ME-NH-NJ-NY-VA-WV	Uncommon	Fall	"Asteraceae, e.g. Astereae"	poly
Andrenidae	Andreninae		Pseudopanurgus		compositarum	Pseudopanurguscompositarum	Pseudopanurgus compositarum	"(Robertson, 1893)"	CT-DE-MD-NJ-NY-PA-VA-WV	Uncommon	Fall	"Asteraceae, e.g. Astereae"	poly
Andrenidae	Andreninae		Pseudopanurgus		illinoiensis	Pseudopanurgusillinoiensis	Pseudopanurgus illinoiensis	"(Cresson, 1878)"	MD-VA	Rare	Spring	Asteraceae	poly
Andrenidae	Andreninae		Pseudopanurgus		labrosiformis	Pseudopanurguslabrosiformis	Pseudopanurgus labrosiformis	"(Robertson, 1898)"	MD-VA-WV	Rare	Summer	"Asteraceae, e.g. Heliantheae"	poly
Andrenidae	Andreninae		Pseudopanurgus		labrosus	Pseudopanurguslabrosus	Pseudopanurgus labrosus	"(Robertson, 1895)"	CT-VA-WV	Uncommon	Summer	"Asteraceae, e.g. Heliantheae"	poly
Andrenidae	Andreninae		Pseudopanurgus		pauper	Pseudopanurguspauper	Pseudopanurgus pauper	"(Cresson, 1878)"	CT-MA-MD-NJ-NY-PA-RI-VA-WV	Rare	Summer	Ceanothus L.	oligo
Andrenidae	Andreninae		Pseudopanurgus		rugosus	Pseudopanurgusrugosus	Pseudopanurgus rugosus	"(Robertson, 1895)"	MD-VA	Rare	Summer	"Asteraceae, e.g. Heliantheae"	poly
Andrenidae	Andreninae		Pseudopanurgus		solidaginis	Pseudopanurgussolidaginis	Pseudopanurgus solidaginis	"(Robertson, 1893)"	MD	Uncommon	Summer	Asteraceae	poly
Andrenidae	Andreninae		Pseudopanurgus		virginicus	Pseudopanurgusvirginicus	Pseudopanurgus virginicus	"(Cockerell, 1907)"	MD-VA-WV	Rare	Spring	"Ceanothus L., Houstonia L."	poly
Apidae	Apinae	Anthophorini	Habropoda		laboriosa	Habropodalaboriosa	Habropoda laboriosa	"(Fabricius, 1804)"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-VA	Common-Uncommon	Spring	"Cercis L., Vaccinium L."	poly
Apidae	Apinae	Emphorini	Melitoma		taurea	Melitomataurea	Melitoma taurea	"(Say, 1837)"	DE-MD-NJ-PA-VA-WV	Common	Summer	"Calystegia R. Br., Ipomoea L."	poly
Apidae	Apinae	Emphorini	Ptilothrix		bombiformis	Ptilothrixbombiformis	Ptilothrix bombiformis	"(Cresson, 1878)"	CT-DE-MD-NJ-NY-PA-VA-WV	Common-Uncommon	Summer	Hibiscus L.	oligo
Apidae	Apinae	Eucerini	Cemolobus		ipomoeae	Cemolobusipomoeae	Cemolobus ipomoeae	"(Robertson, 1891)"	MD-PA-VA-WV	Rare	Summer	"Calystegia R. Br., Ipomoea L."	poly
Apidae	Apinae	Eucerini	Florilegus	Florilegus	 condignus	Florilegus condignus	Florilegus (Florilegus) condignus	"(Cresson, 1878)"	MD-NJ-VA	Rare	Summer	Pontederia L.	oligo
Apidae	Apinae	Eucerini	Melissodes	Eumelissodes	 agilis	Melissodes agilis	Melissodes (Eumelissodes) agilis	"Cresson, 1878"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common-Uncommon	Summer	"Asteraceae, e.g. Helianthus L."	poly
Apidae	Apinae		Melissodes	Apomelissodes	 apicatus	Melissodes apicatus	Melissodes (Apomelissodes) apicatus	"Lovell and Cockerell, 1906"	CT-DE-MA-MD-ME-NH-NJ-NY	Uncommon-Rare	Summer	Pontederia L.	oligo
Apidae	Apinae		Melissodes	Eumelissodes	 boltoniae	Melissodes boltoniae	Melissodes (Eumelissodes) boltoniae	"Robertson, 1905"	DE-MD-NY-PA-VA	Uncommon	Fall	Asteraceae	poly
Apidae	Apinae		Melissodes	Eumelissodes	 denticulatus	Melissodes denticulatus	Melissodes (Eumelissodes) denticulatus	"Smith, 1854"	CT-DE-MA-MD-NJ-NY-PA-VA-VT-WV	Uncommon	Fall	"Asteraceae, e.g.Vernonia Schreb."	poly
Apidae	Apinae		Melissodes	Eumelissodes	 dentiventris	Melissodes dentiventris	Melissodes (Eumelissodes) dentiventris	"Smith, 1854"	CT-DE-MA-MD-NJ-NY-PA-VA	Uncommon	Fall	Asteraceae	poly
Apidae	Apinae		Melissodes	Heliomelissodes	 desponsus	Melissodes desponsus	Melissodes (Heliomelissodes) desponsus	"Smith, 1854"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common	Fall	"Asteraceae, e.g. Cirsium Mill"	poly
Apidae	Apinae		Melissodes	Eumelissodes	 druriellus	Melissodes druriellus	Melissodes (Eumelissodes) druriellus	"(Kirby, 1802)"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Uncommon	Fall	Asteraceae	poly
