internalTaxonId,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,taxonomicNotes
19198430,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,picena,,,,"(Tkalců, 1999)",
19199519,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,pilicornis,,,,"Smith, 1846",
19199281,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,steinmanni,,,,"Müller, 2002",
19198548,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Osmia,svenssoni,,,,"Tkalců, 1983",
19198285,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Protosmia,asensioi,,,,"Griswold & Parker, 1987",
19199217,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Protosmia,capitata,,,,"(Schletterer, 1889)",
19199758,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Protosmia,minutula,,,,"(Pérez, 1896)",
21215147,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,atratus,,,,"Franklin, 1913","At least four species of the subgenus <em>Thoracobombus </em>from Central and South America have many individuals for which the pubescence is almost entirely black. The genitalia of the males are quite distinctive, but association of the conspecific females with these males has caused problems (Williams 1998)."
21215162,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,baeri,,,,"Vachal, 1904",
21215137,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,bellicosus,,,,"Smith, 1879",
21215153,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,brachycephalus,,,,"Handlirsch, 1888",
21215143,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,brasiliensis,,,,"Lepeletier, 1835",
21215166,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,brevivillus,,,,"Franklin, 1913","<p>The single known female of <em>B. abditus</em> was described as originating from 'Rep. de Guinée Beyla' (equatorial Africa). However, it is indistinguishable from <em>B. brevivillus</em> according to Sakagami (1976:427) and probably represents an introduced or mislabelled individual (Michener&#160;1979, Williams 1998). This specimen was also examined by P.H. Williams (pers. comm. 2016), and his assessment agreed with that of Sakagmai <br/></p>"
21215151,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,coccineus,,,,"Friese, 1903",
21215163,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,digressus,,,,"(Milliron, 1962)",
21215150,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,diligens,,,,"Smith, 1861",
21215141,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,ecuadorius,,,,"Meunier, 1890","<em>Bombus butteli</em> is closely similar to <em>B. ecuadoris</em>. They have been considered separated species (e.g., Franklin 1913, Milliron 1973b) although Franklin conceded that <em>B. butteli</em> might be ´only a variety of subspecies´ of <em>B. ecuadorius</em>. However, <em>B. ecuadorius</em> females are very rare in collections and only five specimens are known. Of these only one was a male, and is labelled 'Bolivia/?Peru', whereas the rest of Milliron's <em>B. ecuadorius</em> are from Ecuador, with the exception of one queen from 'Peru' with no specific locality data. This putative male also differs from the females in having yellow hairs intermixed on the front and rear of the thorax, what was not mentioned in the original description of this male (under the name <em>B. nigrothoracicus</em>) by Friese (1904), which Franklin (1923) then used as the sole basis for associating the male with <em>B. ecuadorius</em>. Another possible interpretation views the male holotype of <em>B. nigrothoracicus</em> instead as a semi melanic male of <em>B. melaleucus</em>, which might explain the difference in colour pattern and distribution from other <em>B. ecuadorius</em>. However, a consequence of this interpretation would be that the only remaining known difference between <em>B. ecuadorius</em> and <em>B. butteli</em> would be in colour pattern, because the main morphological justification for regarding them as a separate species (the broader apical process of the gonostylus of the putative male <em>B. ecuadorius</em>, now <em>B. melaleucus</em> in the broad sense) would have been removed. Further evidence is awaited (Paul Williams http://www.nhm.ac.uk/NHMUK 2013).<em><br/></em>"
21215149,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,ephippiatus,,,,"Say, 1837","This species is currently in revision. As of now, it is recognized as <em>Bombus ephippiatus </em>with a distribution from Northwest Mexico to Panama (Abrahamovich <em>et al</em>. 2004, Labougle 1990). The currently recognized <em>Bombus ephippiatus </em>and its sister species <em>Bombus wilmattae </em>are in the process of being described as 4 separate species (Duennes <em>et al</em>. 2012). One species ranges from Chihuahua to southern Veracruz and Oaxaca in Mexico. Two species are sympatric from Chiapas, Mexico through northern Nicaragua. One of the species from Chiapas, Mexico through northern Nicaragua includes <em>B. wilmattae</em>; unpublished research by Duennes <em>et al</em>. has demonstrated that <em>B. wilmattae</em> is a colour variant of a species within <em>B. ephippiatus sensu lato</em>. Because of this, <em>B. wilmattae</em> is included in this assessment of <em>B. ephippiatus.</em> The fourth species occurs in Costa Rica and Panama."
21215165,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,excellens,,,,"Smith, 1879",
21215132,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,fervidus,,,,"(Fabricius, 1798)","This species is synonymous with <em>B. californicus</em>, based on the lack of differentiation in DNA barcodes between individuals with this color pattern and those with the&#160;<em>B. fervidus s. str</em>. color pattern (Williams&#160;<em>et al</em>. 2014)."
21215159,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,funebris,,,,"Smith, 1854",
21215148,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,handlirschi,,,,"Friese, 1903",
21215155,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,haueri,,,,"Handlirsch, 1888",
21215135,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,hortulanus,,,,"Friese, 1904","<em>Bombus robustus</em> and <em>B. hortulatus</em> have been considered both as conspecific (e.g., Franklin 1913, Frison 1925a) and as separate species (e.g. Milliron 1973b, Asperen de Boer 2007).<em> <br/></em>"
21215139,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,huntii,,,,"Greene, 1860",
21215168,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,variabilis,,,,"Cresson, 1872","Williams (1998) and Williams <em>et al</em>. (2014) consider that <em>Bombus intrudens</em>,&#160;<em>B. variabilis, B. sololensis, B. guatemalensis,</em> and <em>B. mysticus </em>might all be parts of one species&#160;based on morphological evidence, noting the lack of any documented reason (other than differences in colour pattern) why these five taxa should not be considered conspecific. Further study is hampered by a lack of fresh material of North American <em>B. variabilis</em> for analysis of genetic relationships. Although <em>B. intrudens</em> is the oldest available name for this species, the name <em>B. variabilis </em>has been in common use for the species since 1950, and it could be argued that the latter name be used in the interest of stability (Williams 1998)."
21215144,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,macgregori,,,,"Labougle &amp; Ayala, 1985",
21215154,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,APIDAE,Bombus,medius,,,,"Cresson, 1863",
