species.i.	n.gps	CHELSA_bio10_1	CHELSA_bio10_2	CHELSA_bio10_3	CHELSA_bio10_4	CHELSA_bio10_5	CHELSA_bio10_6	CHELSA_bio10_7	CHELSA_bio10_8	CHELSA_bio10_9	CHELSA_bio10_10	CHELSA_bio10_11	CHELSA_bio10_12	CHELSA_bio10_13	CHELSA_bio10_14	CHELSA_bio10_15	CHELSA_bio10_16	CHELSA_bio10_17	CHELSA_bio10_18	CHELSA_bio10_19	CHELSA_bio10_1SD	CHELSA_bio10_2SD	CHELSA_bio10_3SD	CHELSA_bio10_4SD	CHELSA_bio10_5SD	CHELSA_bio10_6SD	CHELSA_bio10_7SD	CHELSA_bio10_8SD	CHELSA_bio10_9SD	CHELSA_bio10_10SD	CHELSA_bio10_11SD	CHELSA_bio10_12SD	CHELSA_bio10_13SD	CHELSA_bio10_14SD	CHELSA_bio10_15SD	CHELSA_bio10_16SD	CHELSA_bio10_17SD	CHELSA_bio10_18SD	CHELSA_bio10_19SD	area	max_lat	min_lat	abs_max_lat	abs_min_lat	length_lat	median_lon	median_lat
Lasioglossum subviridatum	295	135.345762711864	83.0203389830508	254.928813559322	8413.38305084746	301.559322033898	-24.1525423728814	325.64406779661	245.576271186441	26.328813559322	248.227118644068	22.0203389830508	1092.16610169492	112.15593220339	72.406779661017	12.8949152542373	327.935593220339	223.481355932203	327.484745762712	237.613559322034	5.01993719077093	4.46066632941613	10.0467453498626	120.535225258327	5.65586561591849	6.73455289518379	7.74720206650979	15.1991355261585	22.3826573629761	4.67071607018931	5.90799008322417	70.7963175234953	8.97934650566829	5.98160059821715	1.10617065283883	25.1631260475925	18.2184073261669	25.5282743977665	17.6317147929473	3.30766388500001	39.719	38.1777	39.719	38.1777	1.5413	-76.8206	39.0441
Lasioglossum tegulare	2481	137.327257663629	81.8003314001657	252.602734051367	8381.57415078708	302.103148301574	-21.3852526926263	323.375724937862	246.601491300746	28.2630488815244	249.89188069594	24.4183927091964	1082.43371996686	112.424606462303	73.0468102734051	12.7390223695112	328.411350455675	225.905550952775	327.701325600663	236.170256835128	5.221630330602	5.2827142575977	11.1273385618885	136.3375090753	5.90508276967783	7.2783084098926	8.85266934022217	16.3945428063669	20.4227184302513	4.7347714688966	6.30379618961561	77.0246834651529	8.08112048153632	6.12582903509567	1.33019136700404	22.2149067998632	18.9411642273241	23.2976884229067	16.930479047547	4.68396334	39.719	37.9938	39.719	37.9938	1.7252	-76.671	38.9956
Lasioglossum truncatum	19	98.1052631578947	81.7894736842105	258.368421052632	8112.68421052632	257.578947368421	-59.2105263157895	317	203.947368421053	63.2105263157895	206.684210526316	-11.7368421052632	1082.89473684211	108.894736842105	72.9473684210526	13.5263157894737	320.105263157895	221.947368421053	308.105263157895	246.105263157895	14.9588128496664	1.1342617456312	3.05887645160749	224.332355775874	19.7942634492187	13.1469428105228	6.66666666666667	17.9829353808626	35.0786084662694	18.3939985127364	12.5070740217205	107.582988502852	12.1650443523058	8.71444321043153	1.21876171459357	34.5428795313273	24.4141891444084	32.2557397766353	34.1189011429835	0.460977940000004	39.6667	39.2945	39.6667	39.2945	0.372199999999999	-79.3055	39.5451
Lasioglossum versans	45	97.2222222222222	82.2888888888889	258.466666666667	8140.84444444444	257.622222222222	-59.9777777777778	317.622222222222	175.377777777778	-10.7111111111111	206.066666666667	-13.1333333333333	1089.73333333333	108.555555555556	72.1555555555556	13.3777777777778	316.133333333333	224.044444444444	305.333333333333	239.755555555556	15.5108303641636	0.869226987360353	1.32459256171302	141.906812501527	18.5353334434152	14.589050827261	4.78296640974696	21.5968104640991	22.7322580390852	17.396969433052	14.2774456589915	77.3170568033165	6.60425329739567	6.03759267030538	1.40273902336706	21.1655809790759	17.8770492220861	20.9718425947312	17.6714401784291	1.17520668	39.7009	38.389	39.7009	38.389	1.31189999999999	-79.0173	39.6473
Lasioglossum versatum	4180	136.770325693607	82.4499396863691	253.843667068758	8393.87503015682	302.150542822678	-22.4205066344994	324.388661037394	247.111218335344	29.9645355850422	249.390349819059	23.5474065138721	1086.02340168878	113.227020506635	72.1051869722557	13.0728588661037	330.198311218335	222.974427020507	329.531966224367	236.864897466828	5.2432929685027	5.81802265939915	12.3898495814013	147.520513645857	6.58937773672176	7.74453439318323	9.9561401461236	13.510146769036	27.1948220479354	4.90263339313095	6.39820299752163	69.8882324932602	7.53626005801176	5.11442756565659	1.10958406221818	21.042869623989	16.3598919315386	22.5046220824985	15.2097333969131	4.588419145	39.719	37.9938	39.719	37.9938	1.7252	-76.8091	39.0341
lasioglossum vierecki	2	140	75	239	8262	299	-14	313	252	29	252	29	1061	114	74	12	328	231	328	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	38.9196	38.9196	38.9196	38.9196	0	-75.8273	38.9196
Lasioglossum vierecki	343	139.947368421053	80.359649122807	250.090643274854	8325.85380116959	302.777777777778	-17.3625730994152	320.228070175439	252.002923976608	30.9824561403509	252.002923976608	27.8479532163743	1058.57602339181	112.730994152047	72.1286549707602	13.0906432748538	328.388888888889	222.520467836257	328.388888888889	232.526315789474	1.86576867838127	6.07546943937522	12.3583101629437	133.983789999299	4.80136561436319	5.32548813333361	9.79469760892049	1.26652950898748	18.1052555303881	1.26652950898748	3.36189339163075	36.7422473076892	4.66196045190193	3.32516362629011	0.849685224585194	11.8112325108165	10.3582962521239	11.8112325108165	8.24145574752429	1.26601309	39.2366	38.1141	39.2366	38.1141	1.1225	-76.673	38.8778
Lasioglossum viridatum	15	93.7333333333333	81.3333333333333	259.533333333333	8014.53333333333	251.066666666667	-62.6666666666667	313.8	199.266666666667	98.8666666666667	200.8	-15.2	1153.53333333333	119.133333333333	76.9333333333333	13.8666666666667	347.466666666667	235.6	331.466666666667	270.4	13.1391816806868	0.816496580927726	1.30201309334357	110.368128594825	15.5171180436624	12.0336828863621	3.50917165642915	14.877915880673	29.0931181520566	14.5071410986846	11.9415241908225	134.083591553215	13.5850057398729	8.50602027697918	0.351865775274498	39.5164823959874	25.6620898826042	37.5078404502058	34.4192637092329	0.398053135000002	39.566	38.8987	39.566	38.8987	0.667300000000004	-79.4624	39.5283
Lasioglossum weemsi	309	135.152103559871	82.504854368932	253.605177993528	8402.18770226537	300.776699029126	-24.1488673139159	324.715210355987	244.071197411003	31.4174757281553	247.796116504854	21.8964401294498	1059.53721682848	108.773462783172	70.3495145631068	13.0453074433657	319.029126213592	218.495145631068	317.864077669903	229.566343042071	7.66799960636844	6.49106346679967	14.2712397775962	169.448255838519	8.96196730073158	9.78953060300353	11.0774924654676	16.1340200440662	33.9368753981444	7.39957776520158	8.6288338146277	107.850829251104	10.2599559495684	8.39492975210672	1.69927954156063	28.6215077756379	25.8499191587602	28.6712383181342	21.7089581401616	3.942009785	39.719	38.0524	39.719	38.0524	1.6666	-76.9409	38.9849
Lasioglossum zephyrum	345	139.160349854227	82.0349854227405	253.842565597668	8341.14868804665	303.3527696793	-19.3236151603499	322.285714285714	249.915451895044	37.1836734693878	251.067055393586	26.9271137026239	1042.1778425656	108.661807580175	71.3148688046647	12.9096209912536	318.98250728863	219.784256559767	318.690962099125	230.01749271137	5.34378930046558	5.55345637458919	11.6996399382636	168.760838221667	6.64080837501715	8.06789151154802	10.0408522272909	10.4700279697337	30.0390305834924	5.07587394196313	6.92507475471413	75.5922841680367	8.76875928584876	7.03167315757909	1.21178213297758	24.01631359808	20.5818885767142	24.2399820739002	16.2378064952442	4.30375862	39.6667	37.9914	39.6667	37.9914	1.6753	-76.5175	38.9488
